Time Stamp, Pressure, System State, Alarm State,,Second ,minutes ,hours,days,year,,,,,,,
1588809554250,9120281,7,0,,1588809554.25,26480159.2375,441335.987291667,18388.9994704861,50.3808204670852,,,Answer 1,"Year shows the number of years after 1970 ,so 50 is 50 years after 1970. and 50.38 says that the data are recorded from end of April. And as the days are devided by 365 and some years are 360 days. So we can estimate the explosion first week to mid-may 2020. ",,,
1588809554500,9119097,7,0,,1588809554.5,26480159.2416667,441335.987361111,18388.9994733796,50.3808204750127,,,,the time is around 4.45 am ,,,
1588809554750,9120266,7,0,,1588809554.75,26480159.2458333,441335.987430556,18388.9994762731,50.3808204829401,,,,,,,
1588809555000,9119630,7,0,,1588809555,26480159.25,441335.9875,18388.9994791667,50.3808204908676,,,,,,,
1588809555250,9118556,7,0,,1588809555.25,26480159.2541667,441335.987569445,18388.9994820602,50.380820498795,,1588810038500,33250580,d,2,,
1588809555500,9119597,7,0,,1588809555.5,26480159.2583333,441335.987638889,18388.9994849537,50.3808205067225,Answer 2,Time ,Pressure ,system state ,alarm state ,,
1588809555750,9120073,7,0,,1588809555.75,26480159.2625,441335.987708333,18388.9994878472,50.3808205146499,,,,,,,
1588809556000,9119779,7,0,,1588809556,26480159.2666667,441335.987777778,18388.9994907407,50.3808205225774,,,,,,,
1588809556250,9119710,7,0,,1588809556.25,26480159.2708333,441335.987847222,18388.9994936343,50.3808205305048,,"in the last 300 data the pressure is 33250580 , system state d and alarm state 2 ",,,,,
1588809556500,9119161,7,0,,1588809556.5,26480159.275,441335.987916667,18388.9994965278,50.3808205384323,,,,,,,
1588809556750,9120182,7,0,,1588809556.75,26480159.2791667,441335.987986111,18388.9994994213,50.3808205463597,,1588809641500,9130261,d,0,,
1588809557000,9119159,7,0,,1588809557,26480159.2833333,441335.988055556,18388.9995023148,50.3808205542872,Answer 3 ,,Pressure ,system state ,alarm state ,,
1588809557250,9118178,7,0,,1588809557.25,26480159.2875,441335.988125,18388.9995052083,50.3808205622146,,the system had from the beginning greater pressure than 3625.94 psi or 250 bar ,,,,,
1588809557500,9117285,7,0,,1588809557.5,26480159.2916667,441335.988194444,18388.9995081019,50.3808205701421,,at this values the signal went to warning and at 18006627 it went to severe alarm state ,,,,,
1588809557750,9116707,7,0,,1588809557.75,26480159.2958333,441335.988263889,18388.9995109954,50.3808205780695,,1588809902250,18006627,d,2,,
1588809558000,9117716,7,0,,1588809558,26480159.3,441335.988333333,18388.9995138889,50.380820585997,,,,,,,
1588809558250,9118160,7,0,,1588809558.25,26480159.3041667,441335.988402778,18388.9995167824,50.3808205939244,,,,,,,
1588809558500,9119227,7,0,,1588809558.5,26480159.3083333,441335.988472222,18388.9995196759,50.3808206018519,,,,,,,
1588809558750,9119294,7,0,,1588809558.75,26480159.3125,441335.988541667,18388.9995225694,50.3808206097793,,answer to 5 ,441336.083958333,441336.034,0.049958333023824,2.99749998142943,29 minutes between warning and severe
1588809559000,9118563,7,0,,1588809559,26480159.3166667,441335.988611111,18388.999525463,50.3808206177068,,,,,,,
1588809559250,9117932,7,0,,1588809559.25,26480159.3208333,441335.988680556,18388.9995283565,50.3808206256342,,,,,,,
1588809559500,9118943,7,0,,1588809559.5,26480159.325,441335.98875,18388.99953125,50.3808206335616,,,,,,,
1588809559750,9118335,7,0,,1588809559.75,26480159.3291667,441335.988819444,18388.9995341435,50.3808206414891,,1588809641500,9130261,d,0,,
1588809560000,9118278,7,0,,1588809560,26480159.3333333,441335.988888889,18388.999537037,50.3808206494165,Answer 4,Time ,Pressure ,system state ,alarm state ,,
1588809560250,9117154,7,0,,1588809560.25,26480159.3375,441335.988958333,18388.9995399306,50.380820657344,,,,,,,
1588809560500,9116928,7,0,,1588809560.5,26480159.3416667,441335.989027778,18388.9995428241,50.3808206652714,,when the System state changed to d the pressure start increasing and the whereas the alarm state was 0 or normal ,,,,,
1588809560750,9117277,7,0,,1588809560.75,26480159.3458333,441335.989097222,18388.9995457176,50.3808206731989,,,,,,,
1588809561000,9117309,7,0,,1588809561,26480159.35,441335.989166667,18388.9995486111,50.3808206811263,,,,,,,
1588809561250,9117784,7,0,,1588809561.25,26480159.3541667,441335.989236111,18388.9995515046,50.3808206890538,,,,,,,
1588809561500,9117878,7,0,,1588809561.5,26480159.3583333,441335.989305556,18388.9995543982,50.3808206969812,,,,,,,
1588809561750,9117757,7,0,,1588809561.75,26480159.3625,441335.989375,18388.9995572917,50.3808207049087,,,,,,,
1588809562000,9118062,7,0,,1588809562,26480159.3666667,441335.989444444,18388.9995601852,50.3808207128361,,,,,,,
1588809562250,9118172,7,0,,1588809562.25,26480159.3708333,441335.989513889,18388.9995630787,50.3808207207636,,,,,,,
1588809562500,9118019,7,0,,1588809562.5,26480159.375,441335.989583333,18388.9995659722,50.380820728691,,,,,,,
1588809562750,9118452,7,0,,1588809562.75,26480159.3791667,441335.989652778,18388.9995688657,50.3808207366185,,,,,,,
1588809563000,9118252,7,0,,1588809563,26480159.3833333,441335.989722222,18388.9995717593,50.3808207445459,,,,,,,
1588809563250,9117503,7,0,,1588809563.25,26480159.3875,441335.989791667,18388.9995746528,50.3808207524734,,,,,,,
1588809563500,9117211,7,0,,1588809563.5,26480159.3916667,441335.989861111,18388.9995775463,50.3808207604008,,,,,,,
1588809563750,9117918,7,0,,1588809563.75,26480159.3958333,441335.989930556,18388.9995804398,50.3808207683283,,,,,,,
1588809564000,9118301,7,0,,1588809564,26480159.4,441335.99,18388.9995833333,50.3808207762557,,,,,,,
1588809564250,9118661,7,0,,1588809564.25,26480159.4041667,441335.990069444,18388.9995862269,50.3808207841832,,,,,,,
1588809564500,9118752,7,0,,1588809564.5,26480159.4083333,441335.990138889,18388.9995891204,50.3808207921106,,,,,,,
1588809564750,9118876,7,0,,1588809564.75,26480159.4125,441335.990208333,18388.9995920139,50.3808208000381,,,,,,,
1588809565000,9119019,7,0,,1588809565,26480159.4166667,441335.990277778,18388.9995949074,50.3808208079655,,,,,,,
1588809565250,9119417,7,0,,1588809565.25,26480159.4208333,441335.990347222,18388.9995978009,50.380820815893,,,,,,,
1588809565500,9120163,7,0,,1588809565.5,26480159.425,441335.990416667,18388.9996006944,50.3808208238204,,,,,,,
1588809565750,9120115,7,0,,1588809565.75,26480159.4291667,441335.990486111,18388.999603588,50.3808208317478,,,,,,,
